station_id,station_name,자치구,주소,위도,경도,restaurant_count_300m,cafe_count_300m,convenience_store_count_300m,bakery_count_300m,pharmacy_count_300m,food_retail_count_1000m,fitness_count_500m,hospital_count_500m,cinema_count_1000m,golf_practice_count_1000m
2301, 현대고등학교 건너편,강남구,서울특별시 강남구 압구정로 134,37.52407074,127.02178955,161,19,6,9,6,2,13,0,15,19
2302, 교보타워 버스정류장(신논현역 3번출구 후면),강남구,서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,295,16,6,3,13,2,12,0,16,18
2303, 논현역 10번출구,강남구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149,166,17,7,6,6,3,15,4,8,19
2304, 대현그린타워,강남구,서울특별시 강남구 언주로 626,37.5116272,127.03565216,211,13,9,4,4,2,30,3,1,55
2305, MCM 본사 직영점 앞,강남구,서울특별시 강남구 언주로 734,37.52064133,127.03450775,219,18,8,7,3,4,23,6,23,48
2306, 압구정역 2번 출구 옆,강남구,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,205,37,7,34,27,1,25,5,23,28
2307, 압구정 한양 3차 아파트,강남구,서울특별시 강남구 압구정로 321,37.52838135,127.03901672,348,23,9,27,10,2,29,4,22,20
2308, 압구정파출소 앞,강남구,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,148,19,8,11,7,3,23,4,22,23
2309, 청담역(우리들병원 앞),강남구,서울특별시 강남구 학동로 443,37.51890182,127.04938507,94,16,10,9,12,5,25,3,0,48
2310, 청담동 맥도날드 옆(위치),강남구,서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639,438,16,11,9,6,4,41,4,19,36
2311, 학동로 래미안 아파트 앞,강남구,서울특별시 강남구 학동로 지하 508,37.51777267,127.04302216,167,25,8,13,18,4,34,2,14,49
2312, 청담역 13번 출구 앞,강남구,서울특별시 강남구 영동대로 703,37.52058029,127.05632782,99,9,8,1,4,3,13,3,34,28
2313, 금원빌딩 앞,강남구,서울특별시 강남구 도산대로 539,37.52511597,127.05246735,140,17,5,5,3,3,27,1,0,26
2314, 청담나들목입구,강남구,서울특별시 강남구 영동대로128길 59,37.52101517,127.06015015,42,2,3,1,2,3,8,3,34,21
2315, 봉은사역 5번출구 옆,강남구,서울특별시 강남구 봉은사로 지하 601,37.51424789,127.06111908,215,32,14,5,7,4,6,5,34,29
2316, 삼성역 8번출구,강남구,서울특별시 강남구 영동대로 502,37.50957489,127.0634079,171,23,10,7,4,2,7,3,35,34
2317, 삼성도로공원,강남구,서울특별시 강남구 영동대로112길 66,37.51588821,127.06620026,67,4,4,0,2,2,4,1,34,11
2318, 삼성중앙역4번출구(문화센터더 리빌),강남구,서울특별시 강남구 봉은사로 531,37.51357651,127.05503082,93,4,4,2,2,4,22,2,35,42
2319, 포스코사거리 서측(수협 삼성동 지점),강남구,서울특별시 강남구 테헤란로 435,37.50660706,127.05467987,292,44,14,6,6,3,33,2,35,55
2320, 도곡역 대치지구대 방향,강남구,서울특별시 강남구 남부순환로 지하 2814,37.4919281,127.05696869,35,4,3,1,4,10,8,1,0,27
2321, 학여울역 사거리,강남구,서울특별시 강남구 남부순환로 지하 3104,37.49611664,127.06944275,14,4,3,0,0,9,7,1,0,32
2322, 삼성역 3번 출구,강남구,서울특별시 강남구 테헤란로 534,37.50809097,127.06310272,176,35,11,9,4,4,12,3,35,40
2323, 주식회사 오뚜기 정문 앞,강남구,서울특별시 강남구 영동대로 308,37.50221252,127.06720734,29,9,2,0,1,5,7,1,1,34
2324, 천주교 대치 2동 교회 옆,강남구,서울특별시 강남구 도곡로 540,37.50043869,127.06622314,61,10,5,0,3,5,9,1,1,38
2325, 대치삼성아파트 앞 교차로,강남구,서울특별시 강남구 도곡로 447,37.4986496,127.05931854,106,25,14,7,6,10,17,0,1,52
2326, 대치동 삼성로,강남구,서울특별시 강남구 삼성로 350,37.50239563,127.05879974,119,26,5,2,2,10,25,2,1,58
2327, 뱅뱅사거리 랜드마크타워 앞,강남구,서울특별시 강남구 강남대로 308,37.49055099,127.03146362,214,27,5,5,2,1,16,2,0,40
2328, 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,강남구,서울특별시 강남구 언주로 506,37.50321198,127.04273224,316,31,17,5,6,1,24,0,0,63
2329, 르네상스호텔사거리 역삼지하보도 2번출구,강남구,서울특별시 강남구 테헤란로 지하 156,37.50235748,127.04319,319,41,17,7,7,3,22,1,0,57
2330, 역삼월드메르디앙아파트 앞,강남구,서울특별시 강남구 도곡로 183,37.49219894,127.03945923,127,16,11,4,4,1,23,2,7,54
2331, 동영문화센터앞,강남구,서울특별시 강남구 언주로 337,37.49805069,127.04460144,136,18,9,4,5,4,15,2,0,50
2332, 선릉역3번출구,강남구,서울특별시 강남구 선릉로 435,37.50400925,127.0490799,425,55,20,4,16,4,34,3,1,58
2333, 양재역 3번출구 주변,강남구,서울특별시 강남구 강남대로 240,37.48515701,127.03407288,94,14,4,4,13,1,8,3,0,21
2334, 삼호아파트 2동 ( 간선도로),강남구,서울특별시 강남구 선릉로 지하 228,37.49375916,127.04589844,51,13,4,4,7,6,12,4,7,42
2335, 3호선 매봉역 3번출구앞,강남구,서울특별시 강남구 남부순환로 2748,37.48676682,127.04676056,98,10,5,3,5,2,13,0,7,25
2336, 강남세브란스교차로 래미안그레이튼 104동 앞,강남구,서울특별시 강남구 선릉로 지하 228,37.49423599,127.04746246,40,8,3,4,5,6,13,4,7,42
2337, 대모산입구역 2번출구 앞,강남구,서울특별시 강남구 영동대로 101,37.49207687,127.07197571,0,0,0,0,0,9,5,0,0,21
2339, 현대아파트 정문 앞,강남구,서울특별시 강남구 언주로 107,37.48326111,127.0522995,6,2,2,0,4,5,5,0,7,16
2340, 삼호물산버스정류장(23370) 옆,강남구,서울특별시 강남구 논현로 82,37.47750854,127.04517365,93,11,5,6,6,3,6,1,0,14
2341, 일원역 4~5번 출구 사이,강남구,서울특별시 강남구 일원로 127,37.4833107,127.08493805,19,4,5,2,17,2,3,0,0,8
2342, 대청역 1번출구 뒤,강남구,서울특별시 강남구 개포로 623,37.49400711,127.07951355,35,7,3,2,2,5,5,0,0,13
2344, 리엔파크 2단지 앞,강남구,서울특별시 강남구 헌릉로590길 10,37.46506119,127.10119629,45,10,2,2,4,5,3,2,0,2
2347, 두산건설 본사,강남구,서울특별시 강남구 언주로 726,37.51863861,127.03540039,208,20,6,5,3,3,29,6,23,53
2348, 포스코사거리(기업은행),강남구,서울특별시 강남구 테헤란로 501,37.50723267,127.05685425,393,41,16,35,15,3,32,2,35,49
2349, 역삼빌딩 앞(하나은행 옆),강남구,서울특별시 강남구 테헤란로 지하 156,37.50154495,127.03856659,411,52,20,9,15,1,34,1,0,58
2350, 래미안그레이튼102동앞,강남구,서울특별시 강남구 선릉로69길 19,37.49482346,127.04790497,38,8,4,4,5,6,13,2,7,42
2351, 청소년수련관(수영장)앞,강남구,서울특별시 강남구 광평로 144,37.48387909,127.0890274,12,1,2,0,1,2,2,0,0,6
2352, 서울본부세관(건설회관 앞),강남구,서울특별시 강남구 언주로 721,37.51758957,127.03502655,172,22,3,4,3,3,23,5,23,56
2353, 강남구청역 2번출구 뒤,강남구,서울특별시 강남구 학동로 342,37.51681137,127.04047394,285,33,10,15,17,4,30,1,14,56
2354, 청담역 2번출구,강남구,서울특별시 강남구 영동대로 647,37.51978683,127.0567627,81,9,8,2,4,3,11,4,34,30
2355, 삼성역 5~6번 출구 사이,강남구,서울특별시 강남구 봉은사로 524,37.50912094,127.06230927,221,36,10,35,5,3,15,4,35,35
2356, 강남구청,강남구,서울특별시 강남구 학동로 지하 346,37.51807022,127.04711914,68,17,9,8,11,4,28,3,0,51
2357, 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞),강남구,서울특별시 강남구 언주로89길 7,37.50166321,127.04297638,247,34,15,9,7,2,22,1,0,57
2358, 구룡초사거리 (현대아파트10동 앞 ),강남구,서울특별시 강남구 개포로 303,37.48138428,127.05391693,3,1,1,0,4,5,3,0,7,15
2359," 국립국악중,고교 정문 맞은편",강남구,서울특별시 강남구 논현로10길 29,37.47560501,127.05037689,90,13,5,6,2,3,4,2,0,8
2360, 도곡1동 주민센터 교차로,강남구,서울특별시 강남구 도곡로 205,37.4928093,127.04138947,119,14,8,4,6,2,22,3,7,53
2362, 신사동 가로수길 입구,강남구,서울특별시 강남구 신사동 501-5,37.51763535,127.02245331,461,36,13,14,22,3,17,2,17,22
2363, 강남 을지병원 교차로,강남구,서울특별시 강남구 도산대로 172 ,37.51913834,127.02751923,242,22,9,6,2,3,27,4,31,38
2364, 도산공원교차로,강남구,서울특별시 강남구 도산대로 229 ,37.52124023,127.0318985,232,21,8,3,4,1,33,7,28,44
2365, K+ 타워 앞,강남구,서울특별시 강남구 도산대로 333 ,37.52330017,127.03847504,462,20,9,12,7,4,40,5,22,39
2368, 도곡동 경남아파트 건너편,강남구,서울특별시 강남구 도곡동 874-1,37.48934174,127.04129791,17,3,5,2,2,2,17,3,7,42
2369, KT선릉타워,강남구,서울특별시 강남구 대치동 1011,37.50542831,127.0528717,395,48,20,3,7,5,41,3,35,59
2370, 한티역 3번출구,강남구,서울특별시 강남구 대치동 1026,37.49655151,127.0542984,140,30,9,15,21,11,16,0,1,41
2371, 한국우편사업진흥원,강남구,서울특별시 강남구 언주로 651,37.51474762,127.03513336,169,26,6,3,7,3,16,4,15,56
2372, 대치역 사거리,강남구,서울특별시 강남구 삼성로 156 ,37.49449921,127.063797,30,8,5,3,10,9,12,1,0,36
2373, 개포동역 사거리,강남구,서울특별시 강남구 개포동 181-3,37.48927689,127.06557465,69,6,3,2,5,9,6,0,0,11
2375, 수서역 1번출구 앞,강남구,서울특별시 강남구 수서동 728,37.48735046,127.10099792,128,22,6,6,11,2,7,0,0,5
2376, 수서역 6번출구 앞,강남구,서울특별시 강남구 수서동 740,37.48677826,127.10051727,119,22,6,6,10,2,7,0,0,5
2377, 수서역 5번출구,강남구,서울특별시 강남구 수서동 724-4,37.48735046,127.10232544,132,23,6,6,11,2,7,0,0,5
2380, 삼성동베이직하우스앞,강남구,서울특별시 강남구 봉은사로 456,37.51169586,127.04934692,105,20,5,4,5,5,22,0,34,51
2381, 언주역 6번출구앞,강남구,서울특별시 강남구 논현로 566,37.50636673,127.03452301,236,33,17,7,13,1,35,4,16,58
2382, 역삼동 sk뷰 501동앞,강남구,서울특별시 강남구 역삼로 315-1,37.50122833,127.05036163,251,28,11,8,11,5,29,4,1,51
2383, 보금자리정원,강남구,서울특별시 강남구 헌릉로569길 39-6,37.46632767,127.09488678,2,3,1,0,0,4,1,1,0,2
2384, 자곡사거리,강남구,서울특별시 강남구 밤고개로 206,37.47602844,127.10594177,43,8,5,1,2,0,1,0,0,1
2385, 학동역,강남구,서울특별시 강남구 학동로 지하 180,37.51395035,127.03015137,151,22,15,4,10,3,10,3,14,50
2386, 크린랩 본사,강남구,논현동 279-166,37.50958633,127.04090881,151,15,10,5,6,1,27,0,0,55
2387, 래미안강남힐즈 사거리,강남구,서울특별시 강남구 자곡로 101,37.47245407,127.09607697,10,4,2,1,2,4,0,0,0,2
2388, 강남구 도시관리공단,강남구,강남구 삼성동 111-61,37.51678467,127.05161285,45,10,5,3,6,5,29,2,34,49
2389, 경기여자고등학교 후문 (삼성로3길 입구),강남구,강남구 개포동 198,37.48616028,127.06723785,30,3,2,3,5,4,3,0,0,9
2390, 구룡마을 입구 (래미안블레스티지 아파트),강남구,강남구 개포동 146-1,37.48088074,127.06304169,35,5,1,2,3,3,7,0,0,5
2391, 구룡터널 입구(개포1단지아파트),강남구,강남구 개포동 146-1,37.47598648,127.05962372,0,0,0,0,0,3,1,0,0,5
2392, 구룡산 입구 (구룡산 서울둘레길 입구),강남구,강남구 개포동 1277,37.47447205,127.05545044,12,1,1,0,0,3,2,1,0,7
2394, 개포래미안포레스트아파트 107동 앞,강남구,강남구 개포로 264,37.48025131,127.05419159,10,6,2,1,6,4,3,0,0,13
2396, 영동3교 북단(우성캐릭터 앞 보도),강남구,강남구 도곡동 466,37.48574066,127.05104828,41,4,3,1,4,3,10,0,7,17
2398, 더라움,강남구,강남구 역삼동 801-7,37.50811005,127.0394516,228,24,11,4,4,1,34,1,0,58
2401, 밀알학교 입구 (삼성서울병원 입구),강남구,강남구 일원동 128-10,37.48656082,127.08267212,7,1,1,1,13,6,5,1,0,15
2403, 공무원연금매점 교차로 (개포주공9단지 입구),강남구,강남구 일원동 703-2,37.48871994,127.07453918,8,6,1,2,2,7,1,0,0,16
2404, 대모산입구역 4번 출구 앞,강남구,강남구 일원동 700-1,37.49180984,127.07315826,13,8,2,2,8,9,2,0,0,22
2405, 청담공원앞 교차로,강남구,강남구 삼성동 111-44,37.51871109,127.05084991,72,15,9,7,10,5,21,2,34,45
2406, 논현동 광명빌딩 앞,강남구,강남구 논현동 279,37.5175705,127.02364349,391,30,14,16,16,3,19,3,17,27
2407, 역삼서초삼성 세무서 앞 (역삼빌딩 앞,강남구,강남구 역삼동 804,37.49847031,127.03011322,416,41,18,7,30,1,25,1,15,44
2408, 강남한양수자인아파트,강남구,강남구 자곡로 260,37.4773407,127.11327362,1,0,1,0,0,0,0,0,0,1
2409, 역삼동 디오슈페리움 (우성아파트 사거리),강남구,강남구 역삼동 858(강남대로 342 앞 도로),37.49206161,127.03074646,205,25,7,4,4,1,18,2,1,44
2410, 포스코피앤에스타워 (역삼역 3번출구 부근),강남구,강남구 역삼동 804(강남구 테헤란로 134 앞 보도),37.49959946,127.03375244,464,51,23,12,12,1,38,2,15,49
2411, 세곡동 성당,강남구,강남구 율현동 165-2(강남구 밤고개로21길 50),37.47296906,127.11222839,9,0,1,1,0,1,2,0,0,1
2413,도곡역 1번 출구,강남구,남부순환로 2814,37.49095917,127.05498505,26,6,2,3,3,6,7,0,7,20
2414, 도곡역 아카데미스위트 앞,강남구,언주로30길 21,37.48897171,127.05182648,75,11,5,7,6,6,9,0,7,19
2415,한티역 롯데백화점 앞,강남구,선릉로 228,37.49667358,127.05342865,158,34,10,18,23,9,15,0,1,42
2416,한티역 6번 출구,강남구,선릉로 227,37.4958992,127.05219269,105,23,7,13,19,8,18,0,0,43
2417,선정릉 디캠프(D.CAMP)앞,강남구,선릉로 551,37.50799942,127.04524994,70,9,4,2,2,2,27,1,0,55
2418,봉은사역 7번 출구,강남구,봉은사로 601,37.51393509,127.05982208,181,30,12,6,7,4,8,4,34,29
2419,"봉은사역 1,2번 출구",강남구,봉은사로 601,37.51430893,127.05970001,185,30,12,6,7,4,6,4,34,29
2420,학여울역 사거리(LG베스트샵 앞),강남구,영동대로 202,37.49689484,127.07013702,22,4,3,0,0,9,7,1,0,30
2421, 신논현역 4번출구,강남구,봉은사로 110,37.504673,127.02579498,297,36,9,6,15,2,9,1,16,26
2422,수서동 성당 맞은편,강남구,광평로34길 202,37.48416901,127.09484863,13,1,1,1,1,4,1,0,0,8
2423,영희초교 사거리(래미안개포루체하임),강남구,개포로110길 50,37.4908371,127.08065033,76,12,5,5,8,6,7,0,0,13
2425,세곡동 사거리(대왕초등학교 정류장),강남구,헌릉로618길 8,37.46461868,127.10684967,28,2,1,2,1,4,0,1,0,1
2426,강남한신휴플러스 6단지,강남구,강남구 율현동 333-1,37.46829605,127.10469818,3,2,1,1,0,5,2,1,0,2
2427,개포고등학교 정문앞,강남구,강남구 개포로402,37.48485184,127.0583725,15,2,1,2,2,5,7,0,0,7
2430,강남파이낸스센터앞(역삼역2번출구),강남구,테헤란로152,37.50024414,127.03605652,394,60,19,10,17,1,38,1,15,55
2431,대치역 7번출구,강남구,남부순환로155,37.49411774,127.06290436,44,10,7,6,12,9,12,1,0,36
3602, 한국지역난방공사강남지사,강남구,양재대로 781,37.49229431,127.09433746,0,0,0,0,0,3,0,0,0,4
3603, 삼성역 2번출구,강남구,영동대로606앞,37.5082016,127.06396484,187,37,14,8,5,3,9,3,35,36
3604, 삼성중앙역 5번출구,강남구,삼성동145-1,37.51296234,127.05386353,154,11,6,2,7,5,23,2,35,49
3605, 봉은사역6번출구(현대아이파크타워앞),강남구,삼성동160,37.51390839,127.06072998,199,31,12,5,7,4,8,4,34,29
3606, 신사동주민센터 옆,강남구,압구정로 130,37.52422714,127.02285004,162,22,5,13,7,2,24,0,15,20
3609, 언주초등학교 입구,강남구,남부순환로2641,37.48536682,127.03849792,81,13,1,5,10,0,11,2,7,31
3610, 윗반마을 입구,강남구,세곡동 97-3,37.46534729,127.1088028,27,2,0,2,1,4,0,0,0,1
3611, 방죽마을 입구,강남구,율현동 264-5,37.47123337,127.10721588,8,5,2,1,1,4,2,0,0,2
3612, 은곡마을,강남구,세곡동 548(도담공원~행복공원 사이),37.46726227,127.09801483,33,13,2,2,2,5,3,1,0,2
3614, 은마아파트 입구 사거리,강남구,삼성로237(정성한줄 대치점 앞),37.49840164,127.06093597,115,28,12,7,6,9,13,1,1,51
3615, 서울 논현동우체국 앞,강남구,학동로212,37.51446152,127.0326004,177,29,10,5,11,3,13,3,12,54
3616, 역삼중학교 앞(체육관 방향),강남구,도곡로43길 10,37.49526215,127.04950714,22,5,4,6,10,7,15,2,7,41
3618, 서울율현초교 삼거리,강남구,밤고개로 231,37.47364044,127.10702515,43,10,7,1,2,1,2,0,0,1
3620, 청담역 11번 출구,강남구,학동로87길 7,37.51925659,127.0515976,69,14,7,6,9,6,23,4,34,37
3621, 휘문고교 사거리,강남구,영동대로 319,37.50286484,127.06594086,37,11,1,0,1,4,9,1,1,35
3622, 은마아파트입구 사거리(1),강남구,삼성로 312,37.49986649,127.0605011,132,32,13,7,7,10,17,1,1,53
3623, 일원에코파크 앞(개포로 방면),강남구,개포로 670,37.49587631,127.08650208,16,4,2,0,0,3,2,0,0,9
3624, 대모산입구역 7번 출구 앞,강남구,개포로 522(사진참고),37.49017715,127.07305908,8,5,1,2,2,7,2,0,0,20
3627, 압구정나들목,강남구,압구정동 507,37.53075027,127.04160309,30,5,1,11,0,2,6,0,8,15
3628, 역삼1동 주민센터,강남구,역삼로 7길 16,37.49521255,127.03302765,382,25,14,5,4,1,29,1,15,48
3629, 청담사거리(신한오피스텔빌딩 앞),강남구,도산대로 510,37.52416229,127.0489502,226,24,6,9,7,5,37,1,0,34
3630, 개포우성6차아파트 정문 앞,강남구,언주로 3,37.47685623,127.05536652,9,3,1,1,2,3,2,1,0,8
3634, 국악고교 앞 교차로,강남구,논현로 34,37.47402191,127.04844666,60,11,5,5,2,3,3,2,0,6
3636, 삼성중앙역·플래티넘아파트 정류소,강남구,봉은사로 471,37.51264191,127.05156708,124,21,6,6,7,6,23,0,35,49
3637, 세곡데이케어센터,강남구,헌릉로 590길 68,37.46072388,127.10287476,7,2,1,0,1,4,0,1,0,1
3638, 신청담나들목,강남구,강변오솔길,37.52796173,127.05162811,63,9,2,2,0,2,18,0,0,18
3640, 일원1동주민센터앞 사거리,강남구,강남구 일원동 645-13,37.4909668,127.08836365,45,3,3,1,5,4,2,1,0,11
3641, 대청역,강남구,강남구 일원로 7,37.49370575,127.0799942,36,10,3,3,2,5,6,0,0,12
3642, LH강남힐스테이트아파트,강남구,자곡로3길 21,37.47092819,127.08970642,3,1,2,0,1,3,0,0,0,1
3643, 더시그넘하우스 앞,강남구,자곡로 174-14,37.47267914,127.10375977,50,7,6,2,2,5,2,0,0,2
3644, 상록수아파트,강남구,광평로10길 15,37.48276138,127.08042145,8,0,1,2,3,3,3,0,0,8
3646, 선정릉역 4번 출구,강남구,강남구 봉은사로 326,37.5097847,127.04277039,136,12,9,6,6,3,22,0,0,62
3647, 구룡역 1번 출구,강남구,개포동 175-3,37.48642349,127.05931854,2,1,0,1,1,5,7,0,0,9
3648, 구룡역 4번 출구,강남구,개포동 156-17,37.48670578,127.0605011,0,0,0,0,0,6,7,0,0,11
3649, 구룡역 5번 출구,강남구,개포동 181-1,37.48607635,127.05921936,4,1,0,1,1,5,7,0,0,9
3651, 개포동역 4번출구,강남구,"강남구 개포동 182-4
(개포동역 4번출구)",37.48929596,127.06616974,71,6,3,2,5,8,6,0,0,11
4901,KT&G타워 옆(상상마당 대치아트홀),강남구,강남구 대치동 1002,37.50687408,127.06473541,139,23,10,3,5,4,11,2,35,39
4902, 구역삼세무서 교차로,강남구,강남구 논현로 337,37.49524307,127.03937531,212,27,12,4,4,2,26,3,0,60
4903, 신사스퀘어,강남구,신사동 504-11,37.51916885,127.0189743,299,18,4,4,9,1,16,2,8,17
4905, 강남경찰서,강남구,강남구 대치동 998,37.50971985,127.06679535,122,13,7,3,2,2,4,2,34,18
4906, 섬유센터 앞,강남구,강남구 대치동 944-1,37.50767136,127.06017303,319,43,14,37,15,4,28,3,35,48
4907, 극동스포츠 앞,강남구,강남구 신사동 575,37.5257225,127.02588654,214,33,5,33,25,2,35,1,15,26
4908, SB타워 앞,강남구,강남구 도산대로 318,37.52210999,127.03646088,302,16,9,9,4,5,33,8,22,45
4909, 노보텔 앰배서더 앞,강남구,강남구 봉은사로 130,37.50570297,127.02919769,120,31,12,5,7,2,16,3,17,42
4913, 레베쌍트 빌딩 앞,강남구,봉은사로86길 6,37.51292038,127.056427,278,29,12,5,4,4,15,3,35,42
4914, 도심공항타워 앞,강남구,삼성동 159-9,37.50999069,127.05847168,479,55,15,36,13,4,24,3,35,39
4915, 영동중앙교회 버스정류장,강남구,강남구 논현로 420,37.49775314,127.03857422,211,31,10,5,5,2,28,2,0,59
4916, 청담역 1번출구,강남구,강남구 영동대로 648,37.51973724,127.05767822,69,7,6,2,3,3,11,4,34,28
4917,일원에코파크 주차장,강남구,강남구 일원동 701-2,37.49404526,127.08678436,30,6,6,1,3,4,2,0,0,10
4918,매봉역 1번출구,강남구,강남구 도곡동 180-26,37.48661041,127.04550934,130,12,4,3,4,2,9,0,7,27
4919,학여울역사거리(은마아파트),강남구,강남구 대치동 398,37.49665833,127.06938171,22,4,3,0,0,9,7,1,0,34
4923,수협대치동지점,강남구,서울특별시 강남구 영동대로 214-2,37.49861526,127.0683136,76,8,5,3,2,6,6,1,0,30
4924,논현동가구거리,강남구,강남구 논현동 56-21,37.51280975,127.02636719,101,18,8,2,2,3,17,5,8,34
4925,청담백영빌딩 앞,강남구,강남구 도산대로 456,37.52390289,127.04660797,279,15,7,10,8,6,40,1,8,39
4926,대치우성아파트 사거리,강남구,강남구 영동대로 230,37.50099564,127.06803894,22,5,2,0,1,4,8,1,0,35
4928,교수마을 입구,강남구,강남구 자곡동 203-1,37.4818573,127.10456085,5,1,2,1,0,2,0,0,0,5
4929,파스쿠찌 청담사거리점 앞,강남구,강남구 도산대로 509,37.52464676,127.04914856,232,26,7,8,6,5,35,0,0,31
4930,학여울역 1번 출구,강남구,강남구 대치동 13-9,37.49662018,127.07099915,12,3,2,0,0,10,5,1,0,30
